# Title: Rayman Legends
# ID: PCSB00360
# Region: EU
# Version: 1.00
# Type: NoNpDrm
# Code Author: tomberyx

# PCSB00360

_V0 Hold X to Fly
$B200 00000001 00000000
$C201 00000001 00004000
$3204 00030EE0 00000244
$0000 00000000 00000004
$0000 00000000 0000013C
$0000 00000000 00000040
$0000 00000000 4100BABE

# --- Added from the GBAtemp VitaCheat/FinalCheat Database thread ---
# Source: https://gbatemp.net/threads/vitacheat-finalcheat-database.485343/post-9650737

_V0 Hold X to Fly
$C201 00000001 00004000
$3203 8387E564 00000238
$0000 00000000 00000004
$0000 00000000 00000040
$0000 00000000 41000000
