# Title: Sayonara UmiharaKawase +
# ID: PCSB00782
# Region: EU
# Version: 1.00
# Type: NoNpDrm
# Note: [noaslr.skprx] Plugin
# only for VitaCheat z06 and FW 3.65+
# Code Author: tomberyx

# PCSB00782

_V0 Hold X to Fly
$B200 00000001 00000000
$C201 00000001 00004000
$3201 00006534 000002F4
$0000 00000000 3DC0BABE
$C201 00000001 00004080
$3201 00006534 000002F4
$0000 00000000 3DC0BABE
$C201 00000001 00004020
$3201 00006534 000002F4
$0000 00000000 3DC0BABE

_V0 Untouchable
$B200 00000001 00000000
$3201 00006534 00000334
$0000 00000000 00002000

_V0 Instant Win-Stage [push Select]
$B200 00000001 00000000
$C201 00000001 00000001
$3201 00006534 00000340
$0000 00000000 04693903

_V0 Hold X to Fly [alternative]
$B200 00000001 00000000
$C201 00000001 00004000
$3202 00004CC0 00000180
$0000 00000000 000002F4
$0000 00000000 3DC0BABE

_V0 [Enemies] Hold UP To Fly
$B200 00000001 00000000
$C201 00000001 00000010
$7201 00006534 00004C84
$7701 00000000 3D800000
$0008 00000260 00000000

_V0 [Enemies] Control [hold R use D-PAD]
$B200 00000001 00000000
$C201 00000001 00000280
$7201 00006534 00004C88
$7701 00000000 3F800000
$0008 00000260 00000000
$0000 00000000 00000000
$C201 00000001 00000220
$7201 00006534 00004C80
$7701 00000000 3D800000
$0008 00000260 00000000
$0000 00000000 00000000
$C201 00000001 00000220
$3201 00006534 00000340
$0000 00000000 00000000
$C201 00000001 00000280
$3201 00006534 00000340
$0000 00000000 00000000

_V0 [Enemies] Freeze [push R]
$B200 00000001 00000000
$C201 00000001 00000200
$7001 00006534 00004CB8
$7701 00000000 000000FF
$0008 00000260 00000000

_V0 Game Speed 2x
$B200 00000001 00000000
$0200 0000653C 00000000

_V0 Game Speed -2x
$B200 00000001 00000000
$0000 0000653C 00000000

# --- Added from the GBAtemp VitaCheat/FinalCheat Database thread ---
# Source: https://gbatemp.net/threads/vitacheat-finalcheat-database.485343/post-9514889

_V0 --If crash use alternative codes and vice-versa--
$0000 00000000 00000000

_V0 Hold X to Fly
$C201 00000001 00004000
$3201 8162E63C 000002F4
$0000 00000000 3DC0BABE

_V0 Invincible
$3102 8162E638 0000000C
$0000 00000000 00000334
$0000 00000000 00000000

_V0 Instant Win-Stage [push Select]
$C201 00000001 00000001
$3201 8162E63C 00000340
$0000 00000000 04693903

_V0 Hold X to Fly
$C201 00000001 00004000
$3201 8152E63C 000002F4
$0000 00000000 3DC0BABE

_V0 Invincible
$3102 8152E638 0000000C
$0000 00000000 00000334
$0000 00000000 00000000

_V0 Instant Win-Stage [push Select]
$C201 00000001 00000001
$3201 8152E63C 00000340
$0000 00000000 04693903

_V0 Hold X to Fly
$C201 00000001 00004000
$4201 81978C94 3DB00000
$0002 00000080 00000000

_V0 Hold X to Fly XY
$C201 00000001 00004000
$3202 8160003C 0002E608
$0000 00000000 000002F4
$0000 00000000 3DB0BABE
