# Title: Devious Dungeon 2
# ID: PCSE01385
# Region: US
# Version: 1.00
# Type: NoNpDrm
# Code Author: Unknown
# only for VitaCheat z06 and FW 3.65+
# Note: [noaslr.skprx] Plugin
# Source: https://gbatemp.net/threads/vitacheat-finalcheat-database.485343/post-10287632

# PCSE01385

_V0 Infinite HP
$B200 00000001 00000000
$3205 0000066C 00000EEC
$3200 00000000 00001510
$3200 00000000 00000000
$3200 00000000 00000144
$3200 00000000 00000124
$3300 00000000 00000309

_V0 Infinite Money
$B200 00000001 00000000
$3205 000012A0 00002ABB
$3200 00000000 00000818
$3200 00000000 000004E8
$3200 00000000 00000030
$3200 00000000 0000003C
$3300 00000000 00001200
